"case.number","record.number","this.team","other.team","home.away","this.team.runs","other.team.runs","excess.runs","game.number","other.team.label"
5,3,"ARI","COL","away",8,6,2,1,"COL"
31,16,"ARI","COL","away",3,4,-1,2,"."
49,25,"ARI","COL","away",4,11,-7,3,"."
77,39,"ARI","WSH","away",4,3,1,4,"WSH"
93,47,"ARI","WSH","away",7,1,6,5,"."
121,61,"ARI","WSH","away",7,1,6,6,"."
149,75,"ARI","WSH","away",3,1,2,7,"."
180,90,"ARI","CIN","home",3,2,1,8,"CIN"
206,103,"ARI","CIN","home",5,4,1,9,"."
232,116,"ARI","CIN","home",2,3,-1,10,"."
274,138,"ARI","COL","home",3,6,-3,11,"COL"
302,153,"ARI","COL","home",5,4,1,12,"."
326,167,"ARI","COL","home",6,4,2,13,"."
352,180,"ARI","LAD","home",1,5,-4,14,"LAD"
376,192,"ARI","LAD","home",4,6,-2,15,"."
393,201,"ARI","SD","away",5,2,3,16,"SD"
421,215,"ARI","SD","away",6,11,-5,17,"."
445,227,"ARI","SF","away",2,4,-2,18,"SF"
475,242,"ARI","SF","away",0,1,-1,19,"."
505,257,"ARI","SF","away",1,2,-1,20,"."
578,293,"ARI","SD","home",5,10,-5,21,"SD"
602,306,"ARI","SD","home",3,2,1,22,"."
622,317,"ARI","SD","home",7,4,3,23,"."
660,336,"ARI","SF","home",3,2,1,24,"SF"
688,350,"ARI","SF","home",5,4,1,25,"."
695,354,"ARI","LAD","away",9,1,8,26,"LAD"
715,364,"ARI","LAD","away",1,2,-1,27,"."
743,378,"ARI","LAD","away",1,2,-1,28,"."
780,397,"ARI","NYM","home",4,9,-5,29,"NYM"
804,409,"ARI","NYM","home",3,5,-2,30,"."
834,424,"ARI","NYM","home",2,6,-4,31,"."
864,439,"ARI","NYM","home",3,1,2,32,"."
890,452,"ARI","PHI","home",4,3,1,33,"PHI"
914,464,"ARI","PHI","home",3,2,1,34,"."
944,479,"ARI","PHI","home",3,9,-6,35,"."
983,499,"ARI","HOU","away",3,1,2,36,"HOU"
1013,514,"ARI","HOU","away",4,10,-6,37,"."
1043,529,"ARI","HOU","away",2,5,-3,38,"."
1093,554,"ARI","COL","away",3,0,3,39,"COL"
1121,569,"ARI","COL","away",3,5,-2,40,"."
