"record_number","date","start_time_eastern","boxscore","visitor_team","visitor_points","home_team","home_points","overtime","notes","minutes","visitor_ppm","home_ppm","visitor_conference","visitor_division","visitor_code","home_conference","home_division","home_code","win_visitor_home","win_team_code","lose_team_code","winning_fraction","winning_pct","win_bin","win_window","game_number"
12,"Wed Oct 29 2014","10:30 pm","Box Score","Oklahoma City Thunder",89,"Portland Trail Blazers",106,"","",48,1.85416666666667,2.20833333333333,"Western","Northwest","OKC","Western","Northwest","POR","Home","POR","OKC",0,0,0,NA,1
18,"Thu Oct 30 2014","10:30 pm","Box Score","Oklahoma City Thunder",90,"Los Angeles Clippers",93,"","",48,1.875,1.9375,"Western","Northwest","OKC","Western","Pacific","LAC","Home","LAC","OKC",0,0,0,NA,2
34,"Sat Nov 1 2014","8:00 pm","Box Score","Denver Nuggets",91,"Oklahoma City Thunder",102,"","",48,1.89583333333333,2.125,"Western","Northwest","DEN","Western","Northwest","OKC","Home","OKC","DEN",0.333333333333333,33.3333333333333,1,NA,3
43,"Mon Nov 3 2014","7:30 pm","Box Score","Oklahoma City Thunder",85,"Brooklyn Nets",116,"","",48,1.77083333333333,2.41666666666667,"Western","Northwest","OKC","Eastern","Atlantic","BKN","Home","BKN","OKC",0.25,25,0,NA,4
56,"Tue Nov 4 2014","7:30 pm","Box Score","Oklahoma City Thunder",88,"Toronto Raptors",100,"","",48,1.83333333333333,2.08333333333333,"Western","Northwest","OKC","Eastern","Atlantic","TOR","Home","TOR","OKC",0.2,20,0,NA,5
76,"Fri Nov 7 2014","8:00 pm","Box Score","Memphis Grizzlies",91,"Oklahoma City Thunder",89,"","",48,1.89583333333333,1.85416666666667,"Western","Southwest","MEM","Western","Northwest","OKC","Visitor","MEM","OKC",0.166666666666667,16.6666666666667,0,NA,6
94,"Sun Nov 9 2014","7:00 pm","Box Score","Sacramento Kings",93,"Oklahoma City Thunder",101,"","",48,1.9375,2.10416666666667,"Western","Pacific","SAC","Western","Northwest","OKC","Home","OKC","SAC",0.285714285714286,28.5714285714286,1,0.25,7
106,"Tue Nov 11 2014","8:00 pm","Box Score","Oklahoma City Thunder",78,"Milwaukee Bucks",85,"","",48,1.625,1.77083333333333,"Western","Northwest","OKC","Eastern","Central","MIL","Home","MIL","OKC",0.25,25,0,0.25,8
110,"Wed Nov 12 2014","7:30 pm","Box Score","Oklahoma City Thunder",109,"Boston Celtics",94,"","",48,2.27083333333333,1.95833333333333,"Western","Northwest","OKC","Eastern","Atlantic","BOS","Visitor","OKC","BOS",0.333333333333333,33.3333333333333,1,0.25,9
129,"Fri Nov 14 2014","8:00 pm","Box Score","Detroit Pistons",96,"Oklahoma City Thunder",89,"OT","",53,1.81132075471698,1.67924528301887,"Eastern","Central","DET","Western","Northwest","OKC","Visitor","DET","OKC",0.3,30,0,0.166666666666667,10
