conference,team_name,abbreviation
Eastern,Chicago Fire,CHI
Eastern,Columbus Crew SC,CCR
Eastern,D.C. United,DCU
Eastern,Montreal Impact,MON
Eastern,New England Revolution,NER
Eastern,New York City FC,NYC
Eastern,New York Red Bulls,NYR
Eastern,Orlando City SC,ORL
Eastern,Philadelphia Union,PHI
Eastern,Toronto FC,WAS
Western,Colorado Rapids,COL
Western,FC Dallas,FTD
Western,Houston Dynamo,HOU
Western,LA Galaxy,LAG
Western,Portland Timbers,POR
Western,Real Salt Lake,RSL
Western,San Jose Earthquakes,SAN
Western,Seattle Sounders FC,SEA
Western,Sporting Kansas City,SKC
Western,Vancouver Whitecaps FC,VAN
