conference,division,team_name,abbreviation
Eastern,Atlantic,Boston Bruins,BOS
Eastern,Atlantic,Buffalo Sabres,BUF
Eastern,Atlantic,Detroit Red Wings,DET
Eastern,Atlantic,Florida Panthers,FLA
Eastern,Atlantic,Montreal Canadiens,MON
Eastern,Atlantic,Ottawa Senators,OTW
Eastern,Atlantic,Tampa Bay Lightning,TBL
Eastern,Atlantic,Toronto Maple Leafs,TOR
Eastern,Metropolitan,Carolina Hurricanes,CAR
Eastern,Metropolitan,Columbus Blue Jackets,CBJ
Eastern,Metropolitan,New Jersey Devils,NJD
Eastern,Metropolitan,New York Islanders,NYI
Eastern,Metropolitan,New York Rangers,NYR
Eastern,Metropolitan,Philadelphia Flyers,PHI
Eastern,Metropolitan,Pittsburgh Penguins,PIT
Eastern,Metropolitan,Washington Capitals,WAS
Western,Central,Chicago Blackhawks,CHI
Western,Central,Colorado Avalanche,COL
Western,Central,Dallas Stars,DAL
Western,Central,Minnesota Wild,MIN
Western,Central,Nashville Predators,NAS
Western,Central,St. Louis Blues,STL
Western,Central,Winnipeg Jets,WIN
Western,Pacific,Anaheim Ducks,ANA
Western,Pacific,Arizona Coyotes,ARI
Western,Pacific,Calgary Flames,CAL
Western,Pacific,Edmonton Oilers,EDM
Western,Pacific,Los Angeles Kings,LAK
Western,Pacific,San Jose Sharks,SJS
Western,Pacific,Vancouver Canucks,VAN
