team,payroll,league,games,wins,losses,wlpct,runs,averuns,rundiff,textleft,textright
LAA,128046500,AL,162,98,64,0.605,4.8,3.9,0.9,LAA,
BAL,105084121,AL,162,96,66,0.593,4.4,3.7,0.7,BAL,
WSN,134366735,NL,162,96,66,0.593,4.2,3.4,0.8,WSN,
LAD,241128402,NL,162,94,68,0.58,4.4,3.8,0.6,LAD,
STL,114020360,NL,162,90,72,0.556,3.8,3.7,0.1,STL,
DET,173578526,AL,162,90,72,0.556,4.7,4.4,0.3,DET,
KCR,90481500,AL,162,89,73,0.549,4,3.9,0.2,,KCR
SFG,147739108,NL,162,88,74,0.543,4.1,3.8,0.3,SFG,
PIT,77340499,NL,162,88,74,0.543,4.2,3.9,0.3,PIT & OAK,
OAK,77220900,AL,162,88,74,0.543,4.5,3.5,1,,
SEA,89539642,AL,162,87,75,0.537,3.9,3.4,0.5,,SEA
CLE,82500800,AL,162,85,77,0.525,4.1,4,0.1,CLE,
NYY,208830659,AL,162,84,78,0.518,3.9,4.1,-0.2,NYY,
TOR,128925800,AL,162,83,79,0.512,4.5,4.2,0.2,TOR,
MIL,102724338,NL,162,82,80,0.506,4,4.1,0,MIL,
ATL,76555673,NL,162,79,83,0.488,3.5,3.7,-0.1,ATL,
NYM,84281011,NL,162,79,83,0.488,3.9,3.8,0.1,,NYM
SDP,81740028,NL,162,77,85,0.475,3.3,3.6,-0.3,,SDP & TBR
TBR,82035490,AL,162,77,85,0.475,3.8,3.9,-0.1,,
MIA,52836900,NL,162,77,85,0.475,4,4.2,-0.2,MIA,
CIN,112378771,NL,162,76,86,0.469,3.7,3.8,-0.1,,CIN
CHW,88550982,AL,162,73,89,0.451,4.1,4.7,-0.6,,CHW
CHC,83046356,NL,162,73,89,0.451,3.8,4.4,-0.6,CHC,
PHI,179521056,NL,162,73,89,0.451,3.8,4.2,-0.4,PHI,
BOS,159880395,AL,162,71,91,0.438,3.9,4.4,-0.5,BOS,
HOU,44985800,AL,162,70,92,0.432,3.9,4.5,-0.6,,HOU
MIN,84912500,AL,162,70,92,0.432,4.4,4.8,-0.4,MIN,
TEX,132491596,AL,162,67,95,0.414,3.9,4.8,-0.8,TEX,
COL,95079071,NL,162,66,96,0.407,4.7,5,-0.4,COL,
ARI,121798833,NL,162,64,98,0.395,3.8,4.6,-0.8,ARI,
