player,position,team,teamsignedwith,age,years,contract,guaranteed,guaranteedpct,salary,yearfreeagent
Anthony Davis (2016-2020) ,PF ,NOP ,NOP ,22,5,145000000,145000000,100,29000000,2021
Carmelo Anthony (2014-2018) ,SF ,NYK ,NYK ,31,5,124064681,124064681,100,24812936,2019
Kobe Bryant (2014-2015) ,SG ,LAL ,LAL ,36,2,48500000,48500000,100,24250000,2016
Damian Lillard (2016-2020) ,PG ,POR ,POR ,25,5,120502600,120502600,100,24100520,2021
Chris Bosh (2014-2018) ,C ,MIA ,MIA ,31,5,118705300,118705300,100,23741060,2019
LeBron James (2015-2016) ,SF ,CLE ,CLE ,30,2,46974673,46974673,100,23487337,2017
Marc Gasol (2015-2019) ,C ,MEM ,MEM ,30,5,113211750,113211750,100,22642350,2020
Kevin Love (2015-2019) ,PF ,CLE ,CLE ,26,5,113211750,113211750,100,22642350,2020
DeAndre Jordan (2015-2018) ,C ,LAC ,LAC ,27,4,87616050,87616050,100,21904013,2019
Dwight Howard (2013-2016) ,C ,HOU ,HOU ,29,4,87591270,87591270,100,21897818,2017
Chris Paul (2013-2017) ,PG ,LAC ,LAC ,30,5,107343477,107343477,100,21468695,2018
Brook Lopez (2015-2017) ,C ,BKN ,BKN ,27,3,63497025,63497025,100,21165675,2018
LaMarcus Aldridge (2015-2018) ,PF ,SAS ,SAS ,30,4,84072030,84072030,100,21018008,2019
Joe Johnson (2010-2015) ,SG ,BKN ,ATL ,34,6,123658089,123658089,100,20609682,2016
Paul Millsap (2015-2017) ,PF ,ATL ,ATL ,30,3,60216100,60216100,100,20072033,2018
Dwyane Wade (2015-2015) ,SG ,MIA ,MIA ,33,1,20000000,20000000,100,20000000,2016
Blake Griffin (2013-2017) ,PF ,LAC ,LAC ,26,5,94538626,94538626,100,18907725,2018
Kyrie Irving (2015-2019) ,PG ,CLE ,CLE ,23,5,94343126,94343126,100,18868625,2020
Kawhi Leonard (2015-2019) ,SF ,SAS ,SAS ,24,5,94343126,94343126,100,18868625,2020
Derrick Rose (2012-2016) ,PG ,CHI ,CHI ,26,5,94314380,94314380,100,18862876,2017
Jimmy Butler (2015-2019) ,SF ,CHI ,CHI ,25,5,92339878,92339878,100,18467976,2020
Paul George (2014-2018) ,SF ,IND ,IND ,25,5,91572660,91572660,100,18314532,2019
Kevin Durant (2011-2015) ,SF ,OKC ,OKC ,26,5,89163134,89163134,100,17832627,2016
Enes Kanter (2015-2018) ,C ,OKC ,OKC ,23,4,70060026,70060026,100,17515007,2019
Wesley Matthews (2015-2018) ,SG ,DAL ,DAL ,28,4,70060026,70060026,100,17515007,2019
