player,position,team,teamsignedwith,age,years,contract,salary,guaranteed,guaranteedpct,yearfreeagent
Aaron Rodgers (20132019) ,QB ,GB ,GB ,31,5,110000000,22000000,54000000,49.09,2020
Russell Wilson (20152019) ,QB ,SEA ,SEA ,26,4,87600000,21900000,61542000,70.25,2020
Ben Roethlisberger (20152019) ,QB ,PIT ,PIT ,33,4,87400000,21850000,31000000,35.47,2020
Cam Newton (20152020) ,QB ,CAR ,CAR ,26,5,103800000,20760000,60000000,57.8,2021
Matt Ryan (20132018) ,QB ,ATL ,ATL ,30,5,103750000,20750000,42000000,40.48,2019
Joe Flacco (20132018) ,QB ,BAL ,BAL ,30,6,120600000,20100000,29000000,24.05,2019
Drew Brees (20122016) ,QB ,NO ,NO ,36,5,100000000,20000000,40000000,40,2017
Ryan Tannehill (20152020) ,QB ,MIA ,MIA ,27,4,77000000,19250000,45000000,58.44,2021
Ndamukong Suh (20152020) ,DT ,MIA ,MIA ,28,6,114375000,19062500,59955000,52.42,2021
Colin Kaepernick (20142020) ,QB ,SF ,SF ,27,6,114000000,19000000,61000000,53.51,2021
Jay Cutler (20142020) ,QB ,CHI ,CHI ,32,7,126700000,18100000,54000000,42.62,2021
Tony Romo (20132019) ,QB ,DAL ,DAL ,35,6,108000000,18000000,55000000,50.93,2020
Matthew Stafford (20132017) ,QB ,DET ,DET ,27,3,53000000,17666667,41500000,78.3,2018
Alex Smith (20142018) ,QB ,KC ,KC ,31,4,68000000,17000000,45000000,66.18,2019
Peyton Manning (20152016) ,QB ,DEN ,DEN ,39,2,34000000,17000000,15000000,44.12,2017
Justin Houston (20152020) ,OLB ,KC ,KC ,26,6,101000000,16833333,52500000,51.98,2021
J.J. Watt (20142021) ,DE ,HOU ,HOU ,26,6,100005425,16667571,51876000,51.87,2022
Carson Palmer (20152017) ,QB ,ARI ,ARI ,35,3,49500000,16500000,20500000,41.41,2018
Eli Manning (20102015) ,QB ,NYG ,NYG ,34,6,97500000,16250000,35000000,35.9,2016
Calvin Johnson (20122019) ,WR ,DET ,DET ,29,7,113450000,16207143,53250000,46.94,2020
Mario Williams (20122017) ,DE ,BUF ,BUF ,30,6,96000000,16000000,31400000,32.71,2018
Andy Dalton (20142020) ,QB ,CIN ,CIN ,27,6,96000000,16000000,17000000,17.71,2021
Gerald McCoy (20152021) ,DT ,TB ,TB ,27,6,95200000,15866667,51500000,54.1,2022
Philip Rivers (20092015) ,QB ,SD ,SD ,33,6,91800000,15300000,38150000,41.56,2016
Jason PierrePaul (20152015) ,DE ,NYG ,NYG ,26,1,14813000,14813000, , ,2016
Robert Quinn (20162019) ,DE ,STL ,STL ,25,4,57014895,14253724,41171774,72.21,2020
Darrelle Revis (20152019) ,CB ,NYJ ,NYJ ,30,5,70121060,14024212,39000000,55.62,2020
Patrick Peterson (20162020) ,CB ,ARI ,ARI ,25,5,70050000,14010000,47368114,67.62,2021
Dez Bryant (20152019) ,WR ,DAL ,DAL ,26,5,70000000,14000000,45000000,64.29,2020
Demaryius Thomas (20152019) ,WR ,DEN ,DEN ,27,5,70000000,14000000,43500000,62.14,2020
Richard Sherman (20142018) ,CB ,SEA ,SEA ,27,4,56000000,14000000,40000000,71.43,2019
Adrian Peterson (20152017) ,RB ,MIN ,MIN ,30,3,42000000,14000000,20000000,47.62,2018
Joe Haden (20152019) ,CB ,CLE ,CLE ,26,5,67500000,13500000,22678193,33.6,2020
Clay Matthews (20132018) ,ILB ,GB ,GB ,29,5,66000000,13200000,20500000,31.06,2019
Sam Bradford (20102015) ,QB ,PHI ,STL ,27,6,78045000,13007500,50000000,64.07,2016
Charles Johnson (20112016) ,DE ,CAR ,CAR ,29,6,76000000,12666667,32000000,42.11,2017
Ryan Kerrigan (20162020) ,OLB ,WAS ,WAS ,26,5,61500000,12300000,21000000,34.15,2021
Tyron Smith (20162023) ,LT ,DAL ,DAL ,24,8,97600000,12200000,22118013,22.66,2024
Haloti Ngata (20112015) ,DT ,DET ,BAL ,31,4,48524000,12131000,27100000,55.85,2016
Chris Long (20122016) ,DE ,STL ,STL ,30,4,48200000,12050000,23550000,48.86,2017
Mike Wallace (20132017) ,WR ,MIN ,MIA ,29,5,60000000,12000000,30000000,50,2018
Marshawn Lynch (20152017) ,RB ,SEA ,SEA ,29,2,24000000,12000000,12000000,50,2018
Joe Thomas (20112018) ,LT ,CLE ,CLE ,30,7,80500000,11500000,28500000,35.4,2019
Greg Hardy (20152015) ,DE ,DAL ,DAL ,27,1,11311600,11311600, , ,2016
Vincent Jackson (20122016) ,WR ,TB ,TB ,32,5,55555555,11111111,26000000,46.8,2017
Cameron Jordan (20152020) ,DE ,NO ,NO ,26,5,55000000,11000000,33469000,60.85,2021
Jeremy Maclin (20152019) ,WR ,KC ,KC ,27,5,55000000,11000000,22500000,40.91,2020
Calais Campbell (20122016) ,DE ,ARI ,ARI ,28,5,55000000,11000000,17000000,30.91,2017
Larry Fitzgerald (20152016) ,WR ,ARI ,ARI ,31,2,22000000,11000000,22000000,100,2017
Bobby Wagner (20152019) ,ILB ,SEA ,SEA ,25,4,43000000,10750000,21977427,51.11,2020
Geno Atkins (20142018) ,DT ,CIN ,CIN ,27,5,53327000,10665400,15000000,28.13,2019
Byron Maxwell (20152020) ,CB ,PHI ,PHI ,27,6,63000000,10500000,25000000,39.68,2021
Ryan Clady (20132017) ,LT ,DEN ,DEN ,28,5,52500000,10500000,15000000,28.57,2018
Jason Peters (20152018) ,LT ,PHI ,PHI ,33,4,41300000,10325000,15750000,38.14,2019
Jimmy Smith (20152019) ,CB ,BAL ,BAL ,27,4,41102000,10275500,21000000,51.09,2020
Corey Liuget (20152020) ,DE ,SD ,SD ,25,5,51250000,10250000,30477000,59.47,2021
Brandon Carr (20122017) ,CB ,DAL ,DAL ,29,5,50100000,10020000,25500000,50.9,2018
D'Brickashaw Ferguson (20102017) ,LT ,NYJ ,NYJ ,31,6,60000000,10000000,34800000,58,2018
Trent Williams (20102015) ,LT ,WAS ,WAS ,27,6,60000000,10000000,18879000,31.47,2016
Jimmy Graham (20142017) ,TE ,SEA ,NO ,28,4,40000000,10000000,20900000,52.25,2018
Earl Thomas (20142018) ,S ,SEA ,SEA ,26,4,40000000,10000000,25725000,64.31,2019
Randall Cobb (20152018) ,WR ,GB ,GB ,24,4,40000000,10000000,13000000,32.5,2019
DeMarcus Ware (20142016) ,OLB ,DEN ,DEN ,33,3,30000000,10000000,20000000,66.67,2017
Cameron Heyward (20152020) ,DE ,PIT ,PIT ,26,6,59200000,9866667,15000000,25.34,2021
Jordy Nelson (20142018) ,WR ,GB ,GB ,30,4,39050000,9762500,11500000,29.45,2019
