question,price,seating,boxvip,frontrow,promotion,ranking
1,Price $45,Reserved,Box/VIP NO,Front Row NO,None,10
2,Price $20,Field,Box/VIP NO,Front Row NO,Ball,16
3,Price $20,Reserved,Box/VIP YES,Front Row YES ,Bobblehead,13
4,Price $45,Loge,Box/VIP NO,Front Row YES ,Bobblehead,11
5,Price $20,Loge,Box/VIP YES,Front Row NO,None,14
6,Price $95,Loge,Box/VIP NO,Front Row NO,Cap,6
7,Price $70,Field,Box/VIP NO,Front Row YES ,None,12
8,Price $70,Reserved,Box/VIP YES,Front Row NO,Cap,7
9,Price $45,Top Deck,Box/VIP YES,Front Row NO,Ball,3
10,Price $95,Reserved,Box/VIP NO,Front Row YES ,Ball,5
11,Price $70,Top Deck,Box/VIP NO,Front Row NO,Bobblehead,2
12,Price $70,Loge,Box/VIP YES,Front Row YES ,Ball,9
13,Price $95,Field,Box/VIP YES,Front Row NO,Bobblehead,8
14,Price $20,Top Deck,Box/VIP NO,Front Row YES ,Cap,4
15,Price $45,Field,Box/VIP YES,Front Row YES ,Cap,15
16,Price $95,Top Deck,Box/VIP YES,Front Row YES ,None,1
